,event_change_message,event_title,event_location,event_time,event_group,event_type,event_descr,event_register,event_start_time,event_end_time
12,,Costumes of Downton Abbey - With Jeff Mishur,Niles-Maine District Library - Commons Meeting Room A&B,"Sunday, September 15: 2:00pm - 3:30pm","Adults, 20s-30s",History & Genealogy,"Art historian Jeff Mishur discusses clothes used in the popular PBS series, both period original and imitation vintage.",True,2019-09-15 14:00:00,2019-09-15 15:30:00
13,,New Yorker Discussion Group,Niles-Maine District Library - Board Room,"Monday, September 16: 9:30am - 11:30am",Adults,Education & Learning,Group meets weekly to discuss the magazine The New Yorker.,False,2019-09-16 09:30:00,2019-09-16 11:30:00
14,,Knit Wits,Niles-Maine District Library - Studio B,"Monday, September 16: 10:00am - 11:30am",Adults,Crafts & Making,"Knitting is good for the mind and body, and is better enjoyed in a group! Join us if you're a beginner working on your first project or a master knitter finishing your zillionth item.",True,2019-09-16 10:00:00,2019-09-16 11:30:00
15,,Babytime - 0-24 months,Niles-Maine District Library - Commons Meeting Room A&B,"Monday, September 16: 11:00am - 12:00pm",Kids,Storytimes,"Drop in for our year-round short program of stories, songs, and rhymes followed by playtime. Ages 0-24 months with a grownup.",False,2019-09-16 11:00:00,2019-09-16 12:00:00
16,,Yoga for Kids: Stretch Bend Breathe  - 4 years & up,Niles-Maine District Library - Commons Meeting Room A&B,"Monday, September 16: 4:30pm - 5:15pm",Kids,Health,Kids can learn yoga poses and breathing techniques. Please bring a large bath towel or yoga mat and wear comfortable clothes. Parents need to stay in the room with children through grade 2.,False,2019-09-16 16:30:00,2019-09-16 17:15:00
17,,Citizenship Class,Niles-Maine District Library - Board Room,"Monday, September 16: 6:00pm - 8:30pm","Adults, 20s-30s",ESL & Citizenship,"Prepare for the citizenship examination with instruction in U.S. history and government. Nine week course. Questions? Call Diana Allen at Oakton Community College, 847-376-7683.",False,2019-09-16 18:00:00,2019-09-16 20:30:00
18,,Homework Help,Niles-Maine District Library - KidSpace Program Room,"Monday, September 16: 6:30pm - 8:00pm",Kids,Volunteer  Education & Learning,Friendly teens are available to help your child with specific homework problems and practice reading/spelling. Drop-in between 6:30-7:30 (ends at 8 pm).,False,2019-09-16 18:30:00,2019-09-16 20:00:00
19,,Art in the Era of Downton Abbey  - with Jeff Nigro,Niles-Maine District Library - Commons Meeting Room A&B,"Monday, September 16: 7:00pm - 8:30pm",Adults,Education & Learning,The success of series Downton Abbey has inspired renewed interest in the early 20th century art movements.,True,2019-09-16 19:00:00,2019-09-16 20:30:00
20,,Niles Morning Network  - Chamber of Commerce,Niles-Maine District Library - Commons Meeting Room A&B,"Tuesday, September 17: 7:30am - 9:00am",Adults,Business & Careers,A great way to connect with your Chamber Network before the day even begins!,False,2019-09-17 07:30:00,2019-09-17 09:00:00
21,,Storytime for 2s and 3s,Niles-Maine District Library - KidSpace Program Room,"Tuesday, September 17: 10:00am - 10:30am",Kids,Storytimes,Welcome to a special 30 minute storytime for 2 year olds and 3 year olds.,False,2019-09-17 10:00:00,2019-09-17 10:30:00
22,,Visually Impaired Motivators - Support Group for Adults with Low Vision,Niles-Maine District Library - Commons Meeting Room A&B,"Tuesday, September 17: 10:30am - 12:30pm",Adults,Education & Learning,The meeting runs from 10:30 to 11:30 and is followed by a book discussion from 11:30 to 12:30. Books are obtained from the Illinois Talking Books Program. Info: call Valerie Clark at 847-663-6420.,False,2019-09-17 10:30:00,2019-09-17 12:30:00
23,,Storytime for 2s and 3s,Niles-Maine District Library - KidSpace Program Room,"Tuesday, September 17: 10:45am - 11:15am",Kids,Storytimes,Welcome to a special 30 minute storytime for 2 year olds and 3 year olds.,False,2019-09-17 10:45:00,2019-09-17 11:15:00
24,,Tablet Tuesday,Niles-Maine District Library - Studio B,"Tuesday, September 17: 3:00pm - 4:00pm","Adults, 20s-30s",Computers & Technology,"Have a tablet and need some help getting started? Drop in to learn the basics of your iPad, Android Tablet, or Kindle Fire, as well as ways to customize your device and install apps.",False,2019-09-17 15:00:00,2019-09-17 16:00:00
25,,Wonder Ground - Library Science,Niles-Maine District Library - KidSpace Wonder Ground,"Tuesday, September 17: 4:00pm - 6:00pm",Kids,Education & Learning,"Kids in grades K-4, start your school year off right by learning all the tricks librarians use to find great books and learn new things.",False,2019-09-17 16:00:00,2019-09-17 18:00:00
26,,Money Management Apps,Niles-Maine District Library - Board Room,"Tuesday, September 17: 6:00pm - 7:00pm","Adults, 20s-30s",Computers & Technology  Business & Careers,Learn to manage your money better with these recommended apps.,True,2019-09-17 18:00:00,2019-09-17 19:00:00
27,,Fact: Make a Dwight Schrute Mug - 20s and 30s,Niles-Maine District Library - Studio B,"Tuesday, September 17: 6:30pm - 8:00pm",20s-30s,Crafts & Making  Computers & Technology,Calling all fans of the TV show The Office! Make a Dwight Schrute inspired mug and geek out with endless quotes.,True,2019-09-17 18:30:00,2019-09-17 20:00:00
28,,Evening Family Storytime - 2-6 years,Niles-Maine District Library - KidSpace Program Room,"Tuesday, September 17: 7:00pm - 7:45pm",Kids,Storytimes,"Families with children ages 2-6 enjoy stories, songs, and activities. Come in pj's or not, as you wish!",False,2019-09-17 19:00:00,2019-09-17 19:45:00
29,,Adult Computer Boot Camp - Learn to use a computer,Niles-Maine District Library - Studio B,"Wednesday, September 18: 10:00am - 11:30am",Adults,Computers & Technology,"Adult Beginner Boot Camp is a 3-week training session. Using a mouse or touch pad you will open & close files, begin searching the internet and using websites.",False,2019-09-18 10:00:00,2019-09-18 11:30:00
30,,Dolley Madison  Portrayal by Debra Miller - History Comes Alive,Niles-Maine District Library - Commons Meeting Room A&B,"Wednesday, September 18: 10:30am - 11:30am",Adults,History & Genealogy,"Dolley, wife of our fourth president, James Madison, reminisces about her youth in Philadelphia and her years in the White House.",True,2019-09-18 10:30:00,2019-09-18 11:30:00
31,,Book Buzz Discussion - The Ninth Hour,Niles-Maine District Library - Board Room,"Wednesday, September 18: 1:00pm - 2:00pm",Adults,Book Discussion,Alice McDermott's The Ninth Hour,False,2019-09-18 13:00:00,2019-09-18 14:00:00
32,,Storytime for 4s and 5s,Niles-Maine District Library - KidSpace Program Room,"Wednesday, September 18: 1:30pm - 2:30pm",Kids,Storytimes,Welcome to a longer storytime for 4 year olds and 5 year olds.,False,2019-09-18 13:30:00,2019-09-18 14:30:00
33,,Anime Club - Grades 7-12,Niles-Maine District Library - Teen Underground,"Wednesday, September 18: 6:00pm - 8:00pm",Teens,Film,Join us in the Teen Underground the first and third Wednesday of the month to watch anime. Hang out afterwards to discuss the viewing and make suggestions for future meetings! Ramen will be provided.,False,2019-09-18 18:00:00,2019-09-18 20:00:00
34,,Wills & Trusts,Niles-Maine District Library - Commons Meeting Room A&B,"Wednesday, September 18: 7:00pm - 8:30pm",Adults,Education & Learning,"Local attorney J. Ehrensaft will discuss estate planning, including wills, trusts, powers of attorney, living wills, probate, and guardianship.",True,2019-09-18 19:00:00,2019-09-18 20:30:00
35,,Regular Meeting of the Library Board - Monthly Library Board Meeting,Niles-Maine District Library - Board Room,"Wednesday, September 18: 7:00pm - 9:00pm",Adults,Library Board Meeting,"Monthly Library Board Meeting is held on the third Wednesday of every month in the Board Room on the third floor of the Niles-Maine District Library, 6960 Oakton Street, Niles.",False,2019-09-18 19:00:00,2019-09-18 21:00:00
36,,Downton Day,Niles-Maine District Library - Commons Meeting Room A&B,"Thursday, September 19: 1:00pm - 5:00pm","Adults, 20s-30s",Special Events  Games  Film,"Drop in throughout the afternoon for tea, trivia, episodes from season 1 and documentaries about the show.",False,2019-09-19 13:00:00,2019-09-19 17:00:00
37,,Wonder Ground - Library Science,Niles-Maine District Library - KidSpace Wonder Ground,"Thursday, September 19: 4:00pm - 6:00pm",Kids,Education & Learning,"Kids in grades K-4, start your school year off right by learning all the tricks librarians use to find great books and learn new things.",False,2019-09-19 16:00:00,2019-09-19 18:00:00
38,,ESL: English as a Second Language,Niles-Maine District Library - Commons Meeting Room A&B,"Thursday, September 19: 6:00pm - 8:45pm","Adults, 20s-30s",ESL & Citizenship,"Improve your English speaking, reading, and writing skills. For more information, contact the ESL Department at Oakton Community College. Phone 847-635-1426 or email adulted@oakton.edu",False,2019-09-19 18:00:00,2019-09-19 20:45:00
39,,Drama Club - Grades 2-8,Niles-Maine District Library - KidSpace Program Room,"Thursday, September 19: 7:00pm - 8:00pm","Teens, Kids",Education & Learning,"Calling all Drama Kings and Queens: find your stage voice and learn drama skills through fun theater games, skits and improvisation.",False,2019-09-19 19:00:00,2019-09-19 20:00:00
40,,Rise and Shine Storytime  - Ages 2-6,Niles-Maine District Library - KidSpace Program Room,"Friday, September 20: 10:00am - 10:30am",Kids,Storytimes,"Drop in for a 30-minute storytime where children and caregivers will listen to stories, share in some song, and get out some wiggles.",False,2019-09-20 10:00:00,2019-09-20 10:30:00
41,,Let's Make: Tortillas! - Grades 7-12,Niles-Maine District Library - Commons Meeting Room A,"Friday, September 20: 4:30pm - 6:00pm",Teens,Crafts & Making,"Celebrate National Hispanic Heritage Month by learning to make corn tortillas, a traditional staple food. Then enjoy a tasty taco bar!",True,2019-09-20 16:30:00,2019-09-20 18:00:00
42,,Shakespeare Project of Chicago  - The Californian Incident,Niles-Maine District Library - Commons Meeting Room A&B,"Friday, September 20: 7:00pm - 9:00pm","Teens, Adults, 20s-30s",Performance,The story of the Titanic disaster is well-known.  But one mystery has persisted these many years:  Why did the steamship Californian not respond to the Titanic’s calls for help?,True,2019-09-20 19:00:00,2019-09-20 21:00:00
43,,Baby Lapsit Storytime   - 0-15 months,Niles-Maine District Library - KidSpace Program Room,"Saturday, September 21: 9:30am - 10:15am",Kids,Storytimes,"Join us first thing Saturday morning for our new storytime! We will share simple stories, songs, rhymes, and other activities for you and your child to enjoy together.",False,2019-09-21 09:30:00,2019-09-21 10:15:00
44,,Pi Club: Get Started,Niles-Maine District Library - Studio B,"Saturday, September 21: 10:00am - 11:30am","Teens, Adults",Computers & Technology,The Raspberry Pi is a small affordable computer used  for many projects and learning programming. Come see how Raspberry Pi works! Use one of our Pi's to get started.,True,2019-09-21 10:00:00,2019-09-21 11:30:00
46,,Living in Silence  - by Dr. Cranston Knight,Niles-Maine District Library - Board Room,"Saturday, September 21: 1:00pm - 2:30pm",Adults,Education & Learning,Lecture on Current Photography Exhibit in Franklin Gallery Dr. Knight will talk about his exhibit which was a six-month photo shoot and an attempt to explain another side of Chicago.,False,2019-09-21 13:00:00,2019-09-21 14:30:00
47,,World Language Storytime - Spanish,Niles-Maine District Library - KidSpace Program Room,"Saturday, September 21: 3:00pm - 3:45pm",Kids,Storytimes,Come one and all to share stories in Spanish (with a bit of English). Craft and snack included. Bienvenidos! DROP IN,False,2019-09-21 15:00:00,2019-09-21 15:45:00
48,,Apple Day! - For children 0-5 with a grown-up,Niles-Maine District Library - Commons Meeting Room A&B,"Sunday, September 22: 1:30pm - 2:30pm",Kids,Special Events,"Join us for a celebration of apples! We'll read a few stories, sing some songs, and make a few small crafts. Everyone will receive an apple to take home!",True,2019-09-22 13:30:00,2019-09-22 14:30:00
49,,New Yorker Discussion Group,Niles-Maine District Library - Board Room,"Monday, September 23: 9:30am - 11:30am",Adults,Education & Learning,Group meets weekly to discuss the magazine The New Yorker.,False,2019-09-23 09:30:00,2019-09-23 11:30:00
50,,Make a Zippered Pouch,Niles-Maine District Library - Studio B,"Monday, September 23: 10:00am - 12:00pm",Adults,Crafts & Making,"Using the sewing machine, learn to make a pouch/wristlet that has a zipper.",True,2019-09-23 10:00:00,2019-09-23 12:00:00
51,,Babytime - 0-24 months,Niles-Maine District Library - Commons Meeting Room A&B,"Monday, September 23: 11:00am - 12:00pm",Kids,Storytimes,"Drop in for our year-round short program of stories, songs, and rhymes followed by playtime. Ages 0-24 months with a grownup.",False,2019-09-23 11:00:00,2019-09-23 12:00:00
52,,Lego Club  - Grade K-8,Niles-Maine District Library - Commons Meeting Room A&B,"Monday, September 23: 4:30pm - 5:15pm",Kids,Education & Learning,Grades K-8 can join us on the 4th Monday of each month to create masterpieces at our Lego Club. No registration necessary.,False,2019-09-23 16:30:00,2019-09-23 17:15:00
53,,Citizenship Class,Niles-Maine District Library - Board Room,"Monday, September 23: 6:00pm - 8:30pm","Adults, 20s-30s",ESL & Citizenship,"Prepare for the citizenship examination with instruction in U.S. history and government. Nine week course. Questions? Call Diana Allen at Oakton Community College, 847-376-7683.",False,2019-09-23 18:00:00,2019-09-23 20:30:00
54,,Homework Help,Niles-Maine District Library - KidSpace Program Room,"Monday, September 23: 6:30pm - 8:00pm",Kids,Volunteer  Education & Learning,Friendly teens are available to help your child with specific homework problems and practice reading/spelling. Drop-in between 6:30-7:30 (ends at 8 pm).,False,2019-09-23 18:30:00,2019-09-23 20:00:00
55,,Downton Abbey Tea Time Foods,Niles-Maine District Library - Commons Meeting Room A&B,"Monday, September 23: 7:00pm - 8:30pm","Adults, 20s-30s",Crafts & Making,Spend the evening getting in the Downton Abbey mood with Chef Susan Maddox.,True,2019-09-23 19:00:00,2019-09-23 20:30:00
56,,Book Buzz Discussion - The Secret of Clouds,Niles-Maine District Library - Conference Room,"Monday, September 23: 7:00pm - 8:00pm",Adults,Book Discussion,The Secret of Clouds by Alyson Richman concerns a young Russian immigrant family and a teacher who tutors their son who has been exposed to radiation.,False,2019-09-23 19:00:00,2019-09-23 20:00:00
57,,Storytime for 2s and 3s,Niles-Maine District Library - KidSpace Program Room,"Tuesday, September 24: 10:00am - 10:30am",Kids,Storytimes,Welcome to a special 30 minute storytime for 2 year olds and 3 year olds.,False,2019-09-24 10:00:00,2019-09-24 10:30:00
58,,Storytime for 2s and 3s,Niles-Maine District Library - KidSpace Program Room,"Tuesday, September 24: 10:45am - 11:15am",Kids,Storytimes,Welcome to a special 30 minute storytime for 2 year olds and 3 year olds.,False,2019-09-24 10:45:00,2019-09-24 11:15:00
59,,Wonder Ground - Library Science,Niles-Maine District Library - KidSpace Wonder Ground,"Tuesday, September 24: 4:00pm - 6:00pm",Kids,Education & Learning,"Kids in grades K-4, start your school year off right by learning all the tricks librarians use to find great books and learn new things.",False,2019-09-24 16:00:00,2019-09-24 18:00:00
60,,LinkedIn Learning,Niles-Maine District Library - Studio B,"Tuesday, September 24: 6:30pm - 7:30pm","Adults, 20s-30s",Education & Learning  Computers & Technology  Business & Careers,"Help achieve your potential with videos by experts in a variety of industries. The class will cover types of videos, using exercise files, creating a playlist, and more. Niles Cardholders Only.",True,2019-09-24 18:30:00,2019-09-24 19:30:00
61,,Evening Family Storytime - 2-6 years,Niles-Maine District Library - KidSpace Program Room,"Tuesday, September 24: 7:00pm - 7:45pm",Kids,Storytimes,"Families with children ages 2-6 enjoy stories, songs, and activities. Come in pj's or not, as you wish!",False,2019-09-24 19:00:00,2019-09-24 19:45:00
62,,Small Business Counseling - SCORE North Cook and Lake Counties Chapter,Niles-Maine District Library - Study Room 3,"Wednesday, September 25: 9:00am - 12:00pm",Adults,Business & Careers,"Get expert guidance from a SCORE® mentor. Free and confidential. Request a mentor at northchicago.score.org or call (224) 372-3432.
Sessions begin at 9 a.m., 10 a.m. or 11 a.m.",True,2019-09-25 09:00:00,2019-09-25 12:00:00
63,,How to Land a Job in 90 Days,Niles-Maine District Library - Board Room,"Wednesday, September 25: 9:30am - 3:30pm",Adults,Business & Careers,"Learn to set SMART goals, use social media to connect with hiring managers, get a resume through the Applicant Tracking Systems, and sharpen critical interview skills. Register at www.worknetncc.com",True,2019-09-25 09:30:00,2019-09-25 15:30:00
64,,Silhouette Wednesday  - Spooky Soap Dispensers,Niles-Maine District Library - Studio B,"Wednesday, September 25: 12:00pm - 1:30pm",Adults,Crafts & Making  Computers & Technology,Each month we are going to do a different project with the vinyl cutter that uses Silhouette Studio software. Ages 13 & up,True,2019-09-25 12:00:00,2019-09-25 13:30:00
65,,Storytime for 4s and 5s,Niles-Maine District Library - KidSpace Program Room,"Wednesday, September 25: 1:30pm - 2:30pm",Kids,Storytimes,Welcome to a longer storytime for 4 year olds and 5 year olds.,False,2019-09-25 13:30:00,2019-09-25 14:30:00
66,,Garden Appetizers,Niles-Maine District Library - Commons Meeting Room A&B,"Wednesday, September 25: 7:00pm - 8:00pm",Adults,Health  Education & Learning,"Everything taste better fresh from your garden. Chef Cherise will share garden fresh appetizers that are easy to prepare and delicious to eat. Recipes using berries, cucumbers,  tomatoes and more!",True,2019-09-25 19:00:00,2019-09-25 20:00:00
67,,Wonder Ground - Library Science,Niles-Maine District Library - KidSpace Wonder Ground,"Thursday, September 26: 4:00pm - 6:00pm",Kids,Education & Learning,"Kids in grades K-4, start your school year off right by learning all the tricks librarians use to find great books and learn new things.",False,2019-09-26 16:00:00,2019-09-26 18:00:00
68,,ESL: English as a Second Language,Niles-Maine District Library - Commons Meeting Room A&B,"Thursday, September 26: 6:00pm - 8:45pm","Adults, 20s-30s",ESL & Citizenship,"Improve your English speaking, reading, and writing skills. For more information, contact the ESL Department at Oakton Community College. Phone 847-635-1426 or email adulted@oakton.edu",False,2019-09-26 18:00:00,2019-09-26 20:45:00
69,,Rise and Shine Storytime  - Ages 2-6,Niles-Maine District Library - KidSpace Program Room,"Friday, September 27: 10:00am - 10:30am",Kids,Storytimes,"Drop in for a 30-minute storytime where children and caregivers will listen to stories, share in some song, and get out some wiggles.",False,2019-09-27 10:00:00,2019-09-27 10:30:00
70,,Virtual Fridays,Niles-Maine District Library - Studio B,"Friday, September 27: 4:30pm - 6:30pm","Teens, Adults, 20s-30s",Computers & Technology,"Explore space, journey inside the human body, and defend a kingdom with your bow and arrow using virtual reality equipment. Each participant receives a 15-minute session.",True,2019-09-27 16:30:00,2019-09-27 18:30:00
71,,Slime Making - Grades 7-12,Niles-Maine District Library - Teen Underground,"Friday, September 27: 4:30pm - 6:30pm",Teens,Crafts & Making,Stop by the Teen Underground to learn how to make your own customizable slime!,False,2019-09-27 16:30:00,2019-09-27 18:30:00
72,,Baby Lapsit Storytime   - 0-15 months,Niles-Maine District Library - KidSpace Program Room,"Saturday, September 28: 9:30am - 10:15am",Kids,Storytimes,"Join us first thing Saturday morning for our new storytime! We will share simple stories, songs, rhymes, and other activities for you and your child to enjoy together.",False,2019-09-28 09:30:00,2019-09-28 10:15:00
73,,How to Approach Sex-Positive Parenting with Pre-Teens - See description to submit your anonymous questions,Niles-Maine District Library - Commons Meeting Room A&B,"Saturday, September 28: 10:00am - 11:00am",Adults,Health,"Why is talking to your preteen (ages 9-12) about sex and sexuality important? Join us for a discussion with sexuality educator Jennifer Litner, who will answer these questions and yours! ADULTS ONLY",True,2019-09-28 10:00:00,2019-09-28 11:00:00
74,,Teen Advisory Board - Grades 7-12,Niles-Maine District Library - Teen Underground,"Saturday, September 28: 12:00pm - 1:30pm",Teens,Volunteer,"Get involved at the library, help plan programs and events, create displays, and advocate for teens in the community. Earn service hours while having fun. Lunch included.",False,2019-09-28 12:00:00,2019-09-28 13:30:00
75,,Dungeons & Dragons Free Play - Grades 7-12,Niles-Maine District Library - Teen Underground,"Saturday, September 28: 1:30pm - 4:30pm",Teens,Games,"Dive into the story-building world of Dungeons & Dragons in this monthly gaming meet-up. Bring a character you've already created, or play one provided by our local Dungeon Master.",True,2019-09-28 13:30:00,2019-09-28 16:30:00
76,,"Family Movie - LEGO DC: Batman, Family Matters",Niles-Maine District Library - Commons Meeting Room A&B,"Saturday, September 28: 2:00pm - 4:00pm",Kids,Film,"Drop in at 2 pm on the 4th Saturday of the month for a big movie and a little snack. LEGO DC: Batman, Family Matters is not rated.",False,2019-09-28 14:00:00,2019-09-28 16:00:00
77,,The Music of Downton Abbey  - with the The Marion Consort,Niles-Maine District Library - Commons Meeting Room A&B,"Sunday, September 29: 2:00pm - 3:15pm","Adults, 20s-30s",Performance,"Celebrate the movie release of Downton Abbey with music from The Marion Consort, Chicago's premier choral ensemble for early music, as they present music from and inspired by the Edwardian series.",True,2019-09-29 14:00:00,2019-09-29 15:15:00
78,,New Yorker Discussion Group,Niles-Maine District Library - Board Room,"Monday, September 30: 9:30am - 11:30am",Adults,Education & Learning,Group meets weekly to discuss the magazine The New Yorker.,False,2019-09-30 09:30:00,2019-09-30 11:30:00
79,,Babytime - 0-24 months,Niles-Maine District Library - Commons Meeting Room A&B,"Monday, September 30: 11:00am - 12:00pm",Kids,Storytimes,"Drop in for our year-round short program of stories, songs, and rhymes followed by playtime. Ages 0-24 months with a grownup.",False,2019-09-30 11:00:00,2019-09-30 12:00:00
80,,Bullet Journal Club - Grades 7-12,Niles-Maine District Library - Teen Underground,"Monday, September 30: 5:00pm - 7:00pm",Teens,Crafts & Making,"Stop by the Teen Underground to share ideas and work on your bullet journal with a group of creative people. All supplies will be provided, but you are welcome to bring your own.",False,2019-09-30 17:00:00,2019-09-30 19:00:00
81,,Citizenship Class,Niles-Maine District Library - Board Room,"Monday, September 30: 6:00pm - 8:30pm","Adults, 20s-30s",ESL & Citizenship,"Prepare for the citizenship examination with instruction in U.S. history and government. Nine week course. Questions? Call Diana Allen at Oakton Community College, 847-376-7683.",False,2019-09-30 18:00:00,2019-09-30 20:30:00
82,,KidSpace Volunteer Help,Niles-Maine District Library - KidSpace,"Monday, September 30: 6:00pm - 8:00pm","Teens, Kids",Volunteer,Need service hours? Must be going into 6th grade and up. For more info call 847-663-6622 or email Debbie Graham at KidSpace@nileslibrary.org.,False,2019-09-30 18:00:00,2019-09-30 20:00:00
83,,Fabulous Fall Activities For Teachers - An Early Childhood Education Workshop,Niles-Maine District Library - Commons Meeting Room A&B,"Monday, September 30: 6:30pm - 8:30pm",Adults,Education & Learning,"Autumn is around the corner! Help children notice the changes in nature and learn about new activities for the season involving science, art, games, books, songs, & more! Eligible for Gateways credit",True,2019-09-30 18:30:00,2019-09-30 20:30:00
